"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 07, 2016","63.56","61.05","64.07","60.88","2.76M","4.40%"
"Dec 06, 2016","60.88","60.04","62.14","58.69","3.74M","2.11%"
"Dec 05, 2016","59.62","55.92","61.89","55.25","5.51M","5.65%"
"Dec 04, 2016","56.43","57.02","57.94","55.59","3.28M","1.82%"
"Dec 01, 2016","55.42","51.14","55.42","50.80","6.83M","10.00%"
"Nov 30, 2016","50.38","50.38","50.97","49.37","2.27M","-0.18%"
"Nov 29, 2016","50.47","51.14","51.56","49.21","2.17M","-1.79%"
"Nov 28, 2016","51.39","51.39","52.40","51.05","1.81M","0.16%"
"Nov 27, 2016","51.31","50.97","51.56","49.37","1.55M","1.00%"
"Nov 24, 2016","50.80","51.22","51.81","50.38","1.35M","-0.49%"
"Nov 23, 2016","51.05","48.11","51.64","48.11","1.52M","5.00%"
"Nov 22, 2016","48.62","50.13","50.38","47.95","1.24M","-2.04%"
"Nov 21, 2016","49.63","49.21","51.14","48.95","2.04M","-1.16%"
"Nov 20, 2016","50.21","52.73","52.82","49.54","2.59M","-3.09%"
"Nov 17, 2016","51.81","53.15","53.15","49.12","3.11M","-2.06%"
"Nov 16, 2016","52.90","49.88","53.57","49.54","4.58M","6.05%"
"Nov 15, 2016","49.88","51.22","54.08","49.04","4.07M","-1.81%"
"Nov 14, 2016","50.80","47.02","52.82","46.18","4.05M","5.22%"
"Nov 13, 2016","48.28","48.28","50.21","46.27","3.76M","1.05%"
"Nov 10, 2016","47.78","42.99","47.86","42.99","5.08M","9.64%"
"Nov 09, 2016","43.58","43.66","44.00","42.66","4.16M","0.18%"
"Nov 08, 2016","43.50","40.73","43.66","40.73","4.72M","8.37%"
"Nov 07, 2016","40.14","37.87","40.31","37.87","5.33M","7.90%"
"Nov 06, 2016","37.20","36.19","38.29","35.94","2.73M","2.31%"
"Nov 03, 2016","36.36","36.19","36.86","36.11","2.51M","-0.22%"
"Nov 02, 2016","36.44","36.36","36.78","36.02","2.05M","0.91%"
"Nov 01, 2016","36.11","35.44","36.27","35.10","1.73M","1.89%"
"Oct 31, 2016","35.44","35.10","36.02","34.18","2.07M","2.19%"
"Oct 30, 2016","34.68","34.60","35.69","34.26","2.27M","1.23%"
"Oct 27, 2016","34.26","33.76","34.76","33.76","1.79M","1.24%"
"Oct 26, 2016","33.84","34.01","34.26","33.17","1.37M","-0.99%"
"Oct 25, 2016","34.18","33.59","34.34","33.34","1.68M","1.76%"
"Oct 24, 2016","33.59","32.24","33.84","31.66","1.88M","4.45%"
"Oct 23, 2016","32.16","32.50","33.08","31.91","775.86K","-1.05%"
"Oct 20, 2016","32.50","31.24","32.92","31.24","1.72M","4.33%"
"Oct 19, 2016","31.15","31.32","31.40","30.98","343.16K","-0.54%"
"Oct 18, 2016","31.32","30.82","31.40","30.73","510.38K","1.62%"
"Oct 17, 2016","30.82","30.48","30.82","30.48","309.60K","1.38%"
"Oct 16, 2016","30.40","30.40","30.90","30.31","381.19K","-0.52%"
"Oct 13, 2016","30.56","30.65","30.65","30.31","372.75K","-0.84%"
"Oct 10, 2016","30.82","29.64","31.15","29.64","561.98K","3.98%"
"Oct 09, 2016","29.64","29.81","29.89","29.56","134.77K","-0.84%"
"Oct 06, 2016","29.89","30.06","30.06","29.81","127.81K","-0.57%"
"Oct 05, 2016","30.06","29.98","30.14","29.89","168.47K","0.84%"
"Oct 04, 2016","29.81","29.81","30.06","29.64","232.78K","0.57%"
"Oct 03, 2016","29.64","29.73","29.98","29.56","141.21K","-0.84%"
"Oct 02, 2016","29.89","29.56","29.98","29.56","223.34K","0.54%"
"Sep 29, 2016","29.73","29.56","29.81","29.39","144.51K","0.88%"
"Sep 28, 2016","29.47","29.64","29.64","29.22","99.88K","0.55%"
"Sep 27, 2016","29.31","29.56","29.73","29.31","118.51K","-0.54%"
"Sep 26, 2016","29.47","29.73","29.89","29.39","169.35K","-0.87%"
"Sep 25, 2016","29.73","29.64","29.81","29.39","112.57K","0.58%"
"Sep 24, 2016","29.56","29.73","29.81","29.47","81.24K","-0.57%"
"Sep 22, 2016","29.73","29.05","29.81","29.05","181.92K","1.43%"
"Sep 21, 2016","29.31","29.14","29.47","29.05","196.87K","0.00%"
"Sep 20, 2016","29.31","28.97","29.64","28.97","93.86K","0.90%"
"Sep 19, 2016","29.05","29.14","29.22","28.89","119.38K","-0.31%"
"Sep 18, 2016","29.14","29.14","29.31","29.05","71.30K","-0.27%"
"Sep 08, 2016","29.22","29.39","29.47","29.22","56.71K","-0.58%"
"Sep 07, 2016","29.39","29.64","29.64","29.31","84.39K","0.27%"
"Sep 06, 2016","29.31","29.39","29.56","29.14","31.87K","0.00%"
"Sep 05, 2016","29.31","29.47","29.64","29.31","66.10K","-1.11%"
"Sep 04, 2016","29.64","29.56","29.73","29.39","108.44K","0.00%"
"Sep 01, 2016","29.64","29.56","29.81","29.47","57.47K","0.00%"
"Aug 31, 2016","29.64","29.64","29.89","29.39","151.24K","0.85%"
"Aug 30, 2016","29.39","29.56","29.64","29.31","209.11K","0.27%"
"Aug 29, 2016","29.31","29.14","29.73","28.97","157.72K","0.90%"
"Aug 28, 2016","29.05","29.56","30.14","28.97","143.11K","0.28%"
"Aug 24, 2016","28.97","28.97","29.31","28.80","146.70K","-0.28%"
"Aug 23, 2016","29.05","29.39","29.39","28.97","193.88K","-1.16%"
"Aug 22, 2016","29.39","29.56","29.89","29.22","154.56K","-0.58%"
"Aug 21, 2016","29.56","29.81","29.81","29.47","97.33K","-0.27%"
"Aug 18, 2016","29.64","30.23","30.23","29.56","188.80K","-1.40%"
"Aug 17, 2016","30.06","30.48","30.98","29.98","176.53K","-0.56%"
